u,g,r,i,z,ra,dec,flags_r
25.64323,22.5337,21.08081,20.21013,20.03409,180.460482130409,0.340159301107111,4503874773745664
23.3548,22.61367,21.88743,21.06211,20.34417,180.459430615998,0.219608854008534,6755674721648656
24.6934,24.41954,22.39094,21.6413,20.91305,180.460663309125,0.349095729936273,4503874773712912
23.95034,22.58333,21.9724,21.31251,21.70137,180.459301694028,0.247216753900395,4503874773712896
23.75945,22.93292,22.57334,21.76384,22.39035,180.458331266002,0.346219906920683,6755674755203088
24.19429,23.04305,21.58258,20.86868,20.52519,180.457939851808,0.357367884811235,4503874782265360
22.42112,22.39645,21.54451,21.21151,21.59149,180.459868777337,0.240190928931413,2312598683801124880
22.96594,23.47402,22.30196,21.56174,21.62815,180.316678673748,0.255754947163003,4503874773712896
24.14291,22.12346,20.73555,20.13885,19.69502,180.317839609613,0.257668586462824,2312598683801124880
23.307,23.02742,22.20729,21.85134,22.26895,180.318471751532,0.256270756699078,4503874773712920
20.88233,19.91787,19.51205,19.17871,19.16636,180.316057279431,0.38245846706596,4503874773745664
23.78518,23.26544,22.32966,21.7322,22.61377,180.168448044725,0.238512630768143,4503874773712896
23.79906,24.66743,21.84278,21.53604,21.81248,180.166849304496,0.371447609929775,4503874773712896
22.28762,21.60788,20.67164,20.41546,21.4834,180.166549520467,0.300878859549817,4503874773746944
23.16855,22.28741,21.41564,21.3853,20.70294,180.168090804059,0.214678283229987,4503874773745664
22.4461,20.93375,19.49215,18.94705,18.62961,180.168090955074,0.340997790130427,4503874773745664
23.01976,22.26691,21.8013,21.34744,21.35692,180.166714238949,0.334712928577602,4503874773712896
23.81435,21.97927,20.71848,20.27532,19.98915,180.168536234514,0.35067755154611,2312598683801124888
24.41621,23.16777,22.60998,23.72478,21.32589,180.167851715814,0.387462368447118,4503599938830616
24.81694,23.17999,22.1862,22.42149,23.14761,180.021210985409,0.211266566871375,4503874782134528
21.08045,20.13748,19.60216,19.35482,19.30799,180.020827015399,0.310371692000121,6755674587430928
21.67384,20.73097,20.43466,20.322,20.89203,180.020504440243,0.281837133694256,4503599895839248
23.79192,23.32515,22.71855,21.96182,21.56862,180.868207791877,-0.00382900372953337,4503874907930624
23.3025,23.27995,22.21083,22.19853,21.93306,180.866499133796,-0.108366663974817,4503874773712896
23.92813,23.72082,22.6374,22.07233,21.21628,180.866094561803,-0.190317621103522,13511074162671616
25.39047,23.75535,22.64145,22.21084,23.37713,180.865412862136,-0.133256159657359,4503874773712896
22.75739,22.96919,22.34763,22.10782,21.25623,180.73159199288,-0.00728287372419693,4503874916319488
24.77062,23.27852,22.06141,21.63879,20.97722,180.731554588428,-0.116056646136675,4503874773712896
24.4025,22.30806,21.27587,20.96985,20.54329,180.867381240081,-0.0414757455984839,4503874773712896
23.39256,22.52596,21.95339,21.53707,21.6159,180.867043529111,-0.0552597211807619,4503874773712896
22.55261,21.77164,20.96939,20.70963,20.73286,180.867335975883,-0.013884825350621,4503874773712896
